범주	file::함수	행수	도달	리뷰 태그
A	src/services/discord/commands/skill.rs::cmd_skill	1	아니오	-
A	src/services/discord/commands/skill.rs::run_skill_slash_command	16	아니오	-
A	src/services/discord/commands/text_commands.rs::handle_text_command	1	아니오	-
A	src/services/discord/commands/text_commands.rs::handle_text_command_with_uploads	70	아니오	-
A	src/services/discord/commands/tui_passthrough.rs::cmd_compact	1	아니오	-
A	src/services/discord/commands/tui_passthrough.rs::cmd_context	1	아니오	-
A	src/services/discord/commands/tui_passthrough.rs::cmd_cost	1	아니오	-
A	src/services/discord/commands/tui_passthrough.rs::cmd_effort	1	아니오	-
A	src/services/discord/commands/tui_passthrough.rs::run_claude_passthrough	8	아니오	-
A	src/services/discord/commands/voice.rs::auto_join_voice_channels	3	아니오	-
A	src/services/discord/commands/voice.rs::cmd_vc_join	1	아니오	-
A	src/services/discord/commands/voice.rs::cmd_vc_leave	1	아니오	-
A	src/services/discord/commands/voice.rs::cmd_voice_attach	1	아니오	-
A	src/services/discord/commands/voice.rs::cmd_voice_join	1	아니오	-
A	src/services/discord/commands/voice.rs::cmd_voice_latency	1	아니오	-
A	src/services/discord/commands/voice.rs::cmd_voice_leave	1	아니오	-
A	src/services/discord/commands/voice.rs::cmd_voice_sensitivity	1	아니오	-
A	src/services/discord/commands/voice.rs::handle_vc_text_command	13	아니오	-
A	src/services/discord/commands/voice.rs::try_join_for_provider	1	아니오	-
A	src/services/discord/commands/voice.rs::voice_join_impl	2	아니오	-
A	src/services/discord/commands/voice.rs::voice_leave_impl	1	아니오	-
A	src/services/discord/commands/voice/alert.rs::notify_voice_alert	1	아니오	-
A	src/services/discord/discord_io.rs::deliver_channel_message	1	불명	-
A	src/services/discord/discord_io.rs::notify_source_agent	1	불명	-
A	src/services/discord/discord_io.rs::retry_failed_dm_notifications	1	불명	-
A	src/services/discord/discord_io.rs::send_file_to_channel	1	불명	-
A	src/services/discord/discord_io.rs::send_message_to_channel	1	불명	-
A	src/services/discord/discord_io.rs::send_message_to_user	1	불명	-
A	src/services/discord/discord_io.rs::try_handle_pending_dm_reply	1	불명	-
A	src/services/discord/e2e_control.rs::delete_message	1	불명	-
A	src/services/discord/footer_view_reconciler/mod.rs::edit_channel_message	2	예	-
A	src/services/discord/footer_view_reconciler/mod.rs::note_background_refresh_due	1	예	-
A	src/services/discord/footer_view_reconciler/mod.rs::note_footer_superseded	1	예	-
A	src/services/discord/footer_view_reconciler/mod.rs::note_footer_suppressed_for_tui_mirror	1	예	-
A	src/services/discord/footer_view_reconciler/mod.rs::note_turn_completed_footer	2	예	-
A	src/services/discord/formatting/delivery.rs::send_channel_message_with_optional_reference	3	예	-
A	src/services/discord/formatting/delivery.rs::send_long_message_ctx	3	아니오	-
A	src/services/discord/formatting/delivery.rs::send_long_message_raw	1	예	-
A	src/services/discord/formatting/delivery.rs::send_long_message_raw_with_reference	1	예	-
A	src/services/discord/formatting/delivery.rs::send_long_message_raw_with_reference_returning_message_ids	2	예	-
A	src/services/discord/formatting/delivery.rs::send_single_message_returning_receipt	1	예	-
A	src/services/discord/formatting/long_send_rollback.rs::delete_rollback_channel_message	1	예	-
A	src/services/discord/formatting/long_send_rollback.rs::send_long_message_raw_with_reference_rollback	1	불명	-
A	src/services/discord/formatting/long_send_rollback.rs::send_long_message_raw_with_reference_rollback_policy	4	예	-
A	src/services/discord/formatting/long_send_rollback.rs::send_long_message_raw_with_reference_rollback_returning_receipts	1	예	-
A	src/services/discord/formatting/long_send_rollback.rs::send_long_message_raw_with_required_reference_rollback	1	불명	-
A	src/services/discord/formatting/long_send_rollback.rs::send_long_message_raw_with_rollback	1	예	-
A	src/services/discord/formatting/long_send_rollback.rs::send_long_message_raw_with_rollback_returning_receipts	1	예	-
A	src/services/discord/formatting/long_send_rollback.rs::send_rollback_channel_message	6	예	-
A	src/services/discord/formatting/replace_long_message.rs::cleanup_replace_continuations_after_failure	1	예	-
A	src/services/discord/formatting/replace_long_message.rs::edit_chunk0_returning_receipt	1	예	-
A	src/services/discord/formatting/replace_long_message.rs::replace_long_message_raw	1	예	-
A	src/services/discord/formatting/replace_long_message.rs::replace_long_message_raw_deferred	1	불명	-
A	src/services/discord/formatting/replace_long_message.rs::replace_long_message_raw_deferred_returning_receipt	5	예	-
A	src/services/discord/formatting/replace_long_message.rs::replace_long_message_raw_with_outcome	1	예	-
A	src/services/discord/formatting/replace_long_message.rs::replace_long_message_raw_with_outcome_returning_receipt	2	예	-
A	src/services/discord/gateway.rs::delete_message	1	불명	-
A	src/services/discord/gateway.rs::dispatch_queued_turn	2	불명	-
A	src/services/discord/gateway.rs::edit_message	2	불명	-
A	src/services/discord/gateway.rs::post_message	1	불명	-
A	src/services/discord/gateway.rs::post_message_with_nonce	1	불명	-
A	src/services/discord/gateway.rs::post_message_with_reference	1	불명	-
A	src/services/discord/gateway.rs::post_message_with_reference_and_nonce	1	불명	-
A	src/services/discord/gateway.rs::replace_message_deferred	2	불명	-
A	src/services/discord/gateway.rs::replace_message_with_outcome	1	불명	-
A	src/services/discord/gateway.rs::send_long_message_with_rollback	3	불명	-
A	src/services/discord/gateway.rs::send_message	1	불명	-
A	src/services/discord/gateway/outbound_messages.rs::edit_intake_placeholder	1	불명	-
A	src/services/discord/gateway/outbound_messages.rs::edit_outbound_message	1	불명	-
A	src/services/discord/gateway/outbound_messages.rs::edit_outbound_message_classified	1	불명	-
A	src/services/discord/gateway/outbound_messages.rs::send_intake_placeholder	1	불명	-
A	src/services/discord/gateway/outbound_messages.rs::send_outbound_message	1	불명	-
A	src/services/discord/gateway/outbound_messages.rs::send_outbound_message_with_nonce_classified	1	불명	-
A	src/services/discord/health/headless_turn.rs::start_direct_meeting	1	예	-
A	src/services/discord/health/recovery.rs::handle_relay_recovery	1	예	-
A	src/services/discord/health/recovery.rs::maybe_recover_completed_stale_leak	2	예	M8
A	src/services/discord/health/recovery.rs::run_stall_watchdog_pass	3	예	-
A	src/services/discord/health/relay_auto_heal.rs::apply_orphan_pending_token_cleanup	1	예	-
A	src/services/discord/health/relay_auto_heal.rs::apply_watchdog_orphan_token_cleanup	1	예	-
A	src/services/discord/health/relay_auto_heal.rs::redrive_undelivered_backlog	1	예	-
A	src/services/discord/health/relay_auto_heal.rs::redrive_undelivered_backlog_at	1	예	-
A	src/services/discord/health/relay_auto_heal.rs::run_orphan_token_auto_heal_pass	1	예	-
A	src/services/discord/health/relay_dead_reattach.rs::try_apply	1	예	-
A	src/services/discord/http.rs::delete_channel_message	1	예	-
A	src/services/discord/http.rs::edit_channel_message	1	예	-
A	src/services/discord/http.rs::edit_channel_message_with_components	1	불명	-
A	src/services/discord/http.rs::send_channel_message	1	예	-
A	src/services/discord/http.rs::send_channel_message_with_components	1	불명	-
A	src/services/discord/http.rs::send_channel_message_with_nonce	1	예	-
A	src/services/discord/http.rs::send_channel_message_with_reference	1	예	-
A	src/services/discord/http.rs::send_channel_message_with_reference_and_nonce	1	예	-
A	src/services/discord/http.rs::send_channel_message_with_required_reference	1	예	-
A	src/services/discord/http.rs::send_channel_message_with_required_reference_and_nonce	1	예	-
A	src/services/discord/idle_recap.rs::clear_specific_idle_recap_card	1	불명	-
A	src/services/discord/idle_recap.rs::spawn_clear_captured_idle_recap_for_channel	1	불명	-
A	src/services/discord/idle_recap/card.rs::delete_older_recorded_recaps_for_channel	1	불명	-
A	src/services/discord/idle_recap/card.rs::delete_previous_card	1	불명	-
A	src/services/discord/idle_recap/card.rs::delete_recorded_recap_cards	1	불명	-
A	src/services/discord/idle_recap/card.rs::post_recap_card	2	불명	-
A	src/services/discord/idle_recap_interaction.rs::authorize_component	1	아니오	-
A	src/services/discord/idle_recap_interaction.rs::edit_deferred_ephemeral	1	불명	-
A	src/services/discord/idle_recap_interaction.rs::handle_idle_recap_clear_interaction	9	불명,아니오	-
A	src/services/discord/idle_recap_interaction.rs::handle_idle_recap_compact_interaction	7	불명,아니오	-
A	src/services/discord/idle_recap_interaction.rs::handle_idle_recap_interaction	5	불명,아니오	-
A	src/services/discord/idle_recap_interaction.rs::handle_idle_recap_relay_diag_interaction	7	불명,아니오	-
A	src/services/discord/idle_recap_interaction.rs::handle_idle_recap_suggest_interaction	8	불명,아니오	-
A	src/services/discord/idle_recap_interaction.rs::send_ephemeral	1	아니오	-
A	src/services/discord/mailbox_finish.rs::mailbox_finish_cancelled_turn	1	불명	-
A	src/services/discord/mailbox_finish.rs::mailbox_finish_owned_turn	1	불명	-
A	src/services/discord/mailbox_finish.rs::mailbox_finish_turn	1	불명	-
A	src/services/discord/mailbox_finish.rs::mailbox_finish_turn_if_matches	1	불명	-
A	src/services/discord/mailbox_finish.rs::mailbox_finish_turn_if_matches_episode_started_before_inner	1	불명	-
A	src/services/discord/meeting_orchestrator.rs::handle_meeting_command	5	아니오	-
A	src/services/discord/meeting_orchestrator/lifecycle.rs::cancel_meeting	2	아니오	-
A	src/services/discord/meeting_orchestrator/lifecycle.rs::meeting_status	2	아니오	-
A	src/services/discord/meeting_orchestrator/lifecycle.rs::spawn_direct_start	2	아니오	-
A	src/services/discord/meeting_orchestrator/lifecycle.rs::start_meeting	1	아니오	-
A	src/services/discord/meeting_orchestrator/lifecycle.rs::start_meeting_with_reviewer	10	아니오	-
A	src/services/discord/meeting_orchestrator/records.rs::conclude_meeting	6	아니오	-
A	src/services/discord/meeting_orchestrator/rounds.rs::run_meeting_round	2	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::archive_meeting_thread	1	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::create_meeting_thread	1	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::deliver_meeting_message	1	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::edit_meeting_message	1	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::edit_message	1	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::post_message	1	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::send_meeting_message	1	아니오	-
A	src/services/discord/meeting_orchestrator/selection_runtime.rs::send_meeting_message_with_event	1	아니오	-
A	src/services/discord/mod.rs::apply_queue_exit_feedback	2	예	-
A	src/services/discord/mod.rs::delete	1	예	-
A	src/services/discord/mod.rs::mailbox_clear_channel	1	예	-
A	src/services/discord/mod.rs::mailbox_enqueue_intervention	1	예	-
A	src/services/discord/mod.rs::mailbox_has_pending_soft_queue	1	예	-
A	src/services/discord/model_picker_interaction.rs::close_model_picker_interaction	2	아니오	-
A	src/services/discord/model_picker_interaction.rs::handle_model_picker_interaction	13	아니오	-
A	src/services/discord/model_picker_interaction.rs::save_model_picker_interaction	1	아니오	-
A	src/services/discord/monitoring_status.rs::deliver_monitoring_status	1	불명	-
A	src/services/discord/monitoring_status.rs::edit_message	1	불명	-
A	src/services/discord/monitoring_status.rs::post_message	1	불명	-
A	src/services/discord/monitoring_status.rs::render_channel_monitoring_from_registry	1	불명	-
A	src/services/discord/monitoring_status.rs::render_channel_monitoring_from_store	3	불명	-
A	src/services/discord/outbound/confirmation.rs::send_command_confirmation_message	1	아니오	-
A	src/services/discord/outbound/delivery.rs::deliver_outbound	1	예	-
A	src/services/discord/outbound/delivery.rs::deliver_outbound_with_overrides	3	예	-
A	src/services/discord/outbound/delivery.rs::deliver_single	3	예	-
A	src/services/discord/outbound/delivery.rs::deliver_split	1	예	-
A	src/services/discord/outbound/delivery.rs::retry_minimal_fallback	1	예	-
A	src/services/discord/outbound/delivery.rs::send_content	5	예	-
A	src/services/discord/outbound/manual_delivery.rs::deliver_chunked_manual_notification	1	예	-
A	src/services/discord/outbound/manual_delivery.rs::deliver_manual_dm_notification	2	불명	-
A	src/services/discord/outbound/manual_delivery.rs::deliver_manual_notification	2	예	-
A	src/services/discord/outbound/manual_delivery.rs::post_message	1	예	-
A	src/services/discord/outbound/manual_delivery.rs::post_message_with_nonce	1	예	-
A	src/services/discord/outbound/manual_delivery.rs::post_text_attachment	1	예	-
A	src/services/discord/outbound/manual_delivery.rs::send_resolved_manual_message_with_client	1	예	-
A	src/services/discord/outbound/manual_delivery.rs::send_resolved_manual_message_with_client_and_nonce_rollout	1	예	-
A	src/services/discord/outbound/reaction_control.rs::ensure_queue_reaction_or_fallback_http	1	예	-
A	src/services/discord/outbound/reaction_control.rs::send_reaction_control_reply	1	불명	-
A	src/services/discord/outbound/reaction_control.rs::send_reaction_control_reply_http	1	예	-
A	src/services/discord/outbound/send_api.rs::handle_send	1	예	-
A	src/services/discord/outbound/send_api.rs::handle_send_with_caller	1	예	-
A	src/services/discord/outbound/send_api.rs::handle_senddm	1	불명	-
A	src/services/discord/outbound/send_gate.rs::send_message_with_backends	1	불명	-
A	src/services/discord/outbound/send_gate.rs::send_message_with_backends_and_delivery_id	1	불명	-
A	src/services/discord/outbound/send_gate.rs::send_message_with_backends_and_delivery_id_for_caller	1	예	-
A	src/services/discord/outbound/send_gate.rs::send_message_with_backends_and_delivery_options	1	불명	-
A	src/services/discord/outbound/send_gate.rs::send_message_with_backends_and_delivery_options_for_caller	1	예	-
A	src/services/discord/outbound/send_to_agent.rs::handle_send_to_agent	1	불명	-
A	src/services/discord/outbound/serenity_reference.rs::post_message	1	예	-
A	src/services/discord/outbound/serenity_reference.rs::post_message_with_reference	1	예	-
A	src/services/discord/outbound/serenity_reference.rs::post_message_with_reference_and_nonce	1	예	-
A	src/services/discord/outbound/serenity_reference.rs::send_referenced_lifecycle_notice	1	예	-
A	src/services/discord/outbound/transport.rs::edit_message	1	예	-
A	src/services/discord/outbound/transport.rs::post_message	1	예	-
A	src/services/discord/outbound/transport.rs::post_message_with_nonce	1	예	-
A	src/services/discord/outbound/transport.rs::post_message_with_reference	1	예	-
A	src/services/discord/outbound/transport.rs::post_message_with_reference_and_nonce	1	예	-
A	src/services/discord/outbound/transport.rs::post_serenity_message_with_nonce	1	예	-
A	src/services/discord/outbound/turn_output_controller.rs::commit_and_finalize	1	예	-
A	src/services/discord/outbound/turn_output_controller.rs::deliver_turn_output	1	예	-
A	src/services/discord/outbound/turn_output_controller.rs::deliver_turn_output_with_fallback_revalidation	3	예	-
A	src/services/discord/outbound/turn_output_controller.rs::drive_transport	1	예	-
A	src/services/discord/outbound/turn_output_controller/fresh_send.rs::deliver	1	예	-
A	src/services/discord/outbound/turn_output_controller/transport.rs::delete_active_anchor_after_chunks	1	예	-
A	src/services/discord/outbound/turn_output_controller/transport.rs::drive_non_fresh_transport	5	예	-
A	src/services/discord/outbound/turn_output_controller/transport.rs::post_send_finalize	1	예	-
A	src/services/discord/placeholder_controller.rs::edit_message_with_retry	1	불명	-
A	src/services/discord/placeholder_controller.rs::ensure_active_incarnation	1	불명	-
A	src/services/discord/placeholder_controller.rs::ensure_active_incarnation_inner	1	불명	-
A	src/services/discord/placeholder_controller.rs::ensure_active_inner	1	불명	-
A	src/services/discord/placeholder_controller.rs::ensure_queued	1	불명	-
A	src/services/discord/placeholder_controller.rs::transition	1	불명	-
A	src/services/discord/placeholder_controller/queued_card_gate.rs::delete	1	불명	-
A	src/services/discord/placeholder_controller/queued_card_gate.rs::teardown_delete	1	불명	-
A	src/services/discord/placeholder_controller/queued_card_gate.rs::teardown_exit_body	2	불명	-
A	src/services/discord/placeholder_sweeper.rs::edit_placeholder_safe	1	예	-
A	src/services/discord/placeholder_sweeper.rs::run_placeholder_sweep_pass	3	예	M12(fn)
A	src/services/discord/placeholder_sweeper.rs::spawn_placeholder_sweeper	4	예	-
A	src/services/discord/placeholder_sweeper.rs::sweep_orphan_status_panel	1	예	-
A	src/services/discord/queue_dispatch.rs::mailbox_front_requeue_outcome	1	불명	-
A	src/services/discord/queue_dispatch.rs::mailbox_take_soft_intervention	2	불명	-
A	src/services/discord/queue_dispatch/kickoff.rs::kickoff_idle_queue_channel	2	불명	-
A	src/services/discord/queue_dispatch/kickoff.rs::kickoff_idle_queues_with_deps	1	불명	-
A	src/services/discord/queue_io.rs::kick_idle_queue_channel_if_context_available	1	불명	-
A	src/services/discord/queue_io.rs::mailbox_cancel_queued_primary_message	1	불명	-
A	src/services/discord/queue_io/turn_admission.rs::mailbox_try_start_turn_ordered	1	불명	-
A	src/services/discord/queue_marker.rs::note_exit_feedback_added	1	불명	-
A	src/services/discord/queue_marker.rs::note_removed_via_shared_generation	1	불명	-
A	src/services/discord/reaction_lifecycle.rs::apply_reaction_action_detailed	2	불명	-
A	src/services/discord/reaction_lifecycle.rs::try_add_reaction_raw_with_shared_detailed	1	불명	-
A	src/services/discord/reaction_lifecycle.rs::try_reaction_raw_on_channel_detailed	2	불명	-
A	src/services/discord/reaction_lifecycle.rs::try_reaction_raw_once_on_channel_detailed	1	불명	-
A	src/services/discord/reaction_lifecycle.rs::try_reaction_raw_with_shared_detailed	3	불명	-
A	src/services/discord/reaction_lifecycle.rs::try_remove_reaction_raw_with_shared_detailed	1	불명	-
A	src/services/discord/recovery_engine/completion_delivery.rs::relay_captured_recovery_terminal_notice	1	예	-
A	src/services/discord/recovery_engine/completion_delivery.rs::relay_captured_recovery_terminal_notice_with_gateway	1	예	-
A	src/services/discord/recovery_engine/completion_delivery.rs::relay_recovered_terminal_text_to_placeholder	3	예	-
A	src/services/discord/recovery_engine/completion_delivery.rs::relay_recovery_terminal_notice	1	예	-
A	src/services/discord/recovery_engine/completion_delivery.rs::relay_recovery_terminal_notice_with_capture	1	예	-
A	src/services/discord/recovery_engine/idle_captured_response.rs::recover_idle_partial_response	1	예	M7(fn)
A	src/services/discord/recovery_engine/idle_captured_response.rs::recover_idle_partial_response_from_ready_source	1	예	-
