kind	cat	name	files	depth	chain
wrapper	A	delete_channel_message	src/services/discord/http.rs	1	.delete_message
wrapper	A	delete_discord_message	src/server/routes/e2e_control.rs	2	delete_message → .delete_message
wrapper	A	delete_failed_synthetic_owned_placeholder	src/services/discord/tui_prompt_relay/synthetic_start_wiring.rs	1	.delete_message
wrapper	A	delete_message	src/services/discord/e2e_control.rs,src/services/discord/gateway.rs,src/services/discord/tui_prompt_relay/bridge_gateway.rs	1	.delete_message
wrapper	A	delete_nonterminal_placeholder	src/services/discord/tmux_placeholder_suppression/ops.rs	2	delete_placeholder_with_operation → .delete_message
wrapper	A	delete_nonterminal_placeholder_unless_delivered	src/services/discord/tmux_placeholder_suppression/ops.rs	3	delete_placeholder_unless_delivered → delete_placeholder_with_operation → .delete_message
wrapper	A	delete_older_recorded_recaps_for_channel	src/services/discord/idle_recap/card.rs	4	delete_recorded_recap_cards → delete_previous_card → delete_channel_message → .delete_message
wrapper	A	delete_panel	src/services/discord/recovery_engine/two_message_panel.rs	2	delete_channel_message → .delete_message
wrapper	A	delete_placeholder_unless_delivered	src/services/discord/tmux_placeholder_suppression/ops.rs	2	delete_placeholder_with_operation → .delete_message
wrapper	A	delete_placeholder_with_operation	src/services/discord/tmux_placeholder_suppression/ops.rs	1	.delete_message
wrapper	A	delete_previous_card	src/services/discord/idle_recap/card.rs	2	delete_channel_message → .delete_message
wrapper	A	delete_recorded_recap_cards	src/services/discord/idle_recap/card.rs	3	delete_previous_card → delete_channel_message → .delete_message
wrapper	A	delete_rollback_channel_message	src/services/discord/formatting/long_send_rollback.rs	2	delete_channel_message → .delete_message
wrapper	A	delete_terminal_placeholder	src/services/discord/tmux_placeholder_suppression/ops.rs	2	delete_placeholder_with_operation → .delete_message
wrapper	A	delete_terminal_placeholder_unless_delivered	src/services/discord/tmux_placeholder_suppression/ops.rs	3	delete_placeholder_unless_delivered → delete_placeholder_with_operation → .delete_message
wrapper	A	delete_watcher_rollover_frozen_prefixes	src/services/discord/tmux_placeholder_suppression/ops.rs	3	delete_nonterminal_placeholder → delete_placeholder_with_operation → .delete_message
wrapper	A	deliver	src/server/outbox_actionable_delivery.rs,src/services/discord/outbound/turn_output_controller/fresh_send.rs,src/services/discord/session_relay_sink/terminal_handoff.rs,src/services/discord/turn_bridge/stream_loop/types.rs	1	.send_message
wrapper	A	deliver_card_post_claim	src/services/discord/task_notification_delivery/card_post.rs	7	post_card → send_outbound_message_with_nonce_classified → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	deliver_channel_message	src/services/discord/discord_io.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	deliver_chunked_manual_notification	src/services/discord/outbound/manual_delivery.rs	2	post_message → .send_message
wrapper	A	deliver_claim	src/services/discord/task_notification_delivery/mod.rs	7	edit_card → edit_outbound_message_classified → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
